Fecha,Territorio,ConfirmadosPCR,ConfirmadosTotal,Hospitalizados,UCI,Defunciones
2020-05-05,Jaén,15,20,6,0,1
2020-05-05,Málaga,6,61,7,0,0
2020-05-05,Sevilla,15,50,1,0,1
2020-05-06,Andalucía,23,169,10,1,1
2020-05-06,Almería,0,10,2,0,0
2020-05-06,Cádiz,2,11,0,0,0
2020-05-06,Córdoba,2,27,1,0,0
2020-05-06,Granada,7,22,1,0,0
2020-05-06,Huelva,0,7,0,0,0
2020-05-06,Jaén,1,20,0,0,0
2020-05-06,Málaga,5,46,2,1,1
2020-05-06,Sevilla,6,26,4,0,0
2020-05-07,Andalucía,18,159,10,2,3
2020-05-07,Almería,1,15,0,0,0
2020-05-07,Cádiz,1,10,0,0,0
2020-05-07,Córdoba,1,13,2,1,0
2020-05-07,Granada,2,19,1,0,0
2020-05-07,Huelva,0,5,0,0,0
2020-05-07,Jaén,4,20,4,1,1
2020-05-07,Málaga,1,45,2,0,1
2020-05-07,Sevilla,8,32,1,0,1
2020-05-08,Andalucía,23,187,11,1,0
2020-05-08,Almería,2,12,1,0,0
2020-05-08,Cádiz,0,14,1,0,0
2020-05-08,Córdoba,1,26,0,0,0
2020-05-08,Granada,4,18,1,0,0
2020-05-08,Huelva,0,2,0,0,0
2020-05-08,Jaén,3,16,2,0,0
2020-05-08,Málaga,6,78,4,0,0
2020-05-08,Sevilla,7,21,2,1,0
2020-05-09,Andalucía,16,52,9,0,2
2020-05-09,Almería,5,6,2,0,0
2020-05-09,Cádiz,0,1,1,0,0
2020-05-09,Córdoba,2,12,2,0,0
2020-05-09,Granada,4,11,1,0,1
2020-05-09,Málaga,1,15,0,0,0
2020-05-09,Sevilla,4,7,3,0,1
2020-05-10,Andalucía,13,45,9,2,2
2020-05-10,Almería,3,3,0,0,0
2020-05-10,Córdoba,1,5,1,1,0
2020-05-10,Granada,0,5,1,0,0
2020-05-10,Jaén,8,19,4,0,1
2020-05-10,Málaga,1,11,3,1,1
2020-05-10,Sevilla,0,2,0,0,0
2020-05-11,Andalucía,23,166,9,2,2
2020-05-11,Almería,2,14,2,0,0
